dr_name,dataset_name,n_components,n_neighbors,accuracy,precision,recall,f1_score
LLE,Zoo,2,4,0.80952380952381,0.874338624338624,0.80952380952381,0.734960650927037
LLE,Zoo,2,4,0.80952380952381,0.874338624338624,0.80952380952381,0.734960650927037
LLE,Zoo,2,8,0.80952380952381,0.907142857142857,0.80952380952381,0.748299319727891
LLE,Zoo,4,4,0.904761904761905,0.932539682539682,0.904761904761905,0.881179138321995
LLE,Zoo,4,4,0.904761904761905,0.932539682539682,0.904761904761905,0.881179138321995
LLE,Zoo,4,8,0.80952380952381,0.860389610389611,0.80952380952381,0.728965270318654
LLE,Zoo,6,4,0.857142857142857,0.916666666666667,0.857142857142857,0.804988662131519
LLE,Zoo,6,4,0.857142857142857,0.916666666666667,0.857142857142857,0.804988662131519
LLE,Zoo,6,8,0.904761904761905,0.932539682539682,0.904761904761905,0.881179138321995
LLE,Parkinsons,2,5,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Parkinsons,2,5,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Parkinsons,2,12,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Parkinsons,4,5,0.846153846153846,0.848484848484848,0.96551724137931,0.903225806451613
LLE,Parkinsons,4,5,0.846153846153846,0.848484848484848,0.96551724137931,0.903225806451613
LLE,Parkinsons,4,12,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Parkinsons,6,5,0.846153846153846,0.848484848484848,0.96551724137931,0.903225806451613
LLE,Parkinsons,6,5,0.846153846153846,0.848484848484848,0.96551724137931,0.903225806451613
LLE,Parkinsons,6,12,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Parkinsons,8,5,0.846153846153846,0.848484848484848,0.96551724137931,0.903225806451613
LLE,Parkinsons,8,5,0.846153846153846,0.848484848484848,0.96551724137931,0.903225806451613
LLE,Parkinsons,8,12,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Parkinsons,10,5,0.871794871794872,0.852941176470588,1.0,0.920634920634921
LLE,Parkinsons,10,5,0.871794871794872,0.852941176470588,1.0,0.920634920634921
LLE,Parkinsons,10,12,0.82051282051282,0.805555555555556,1.0,0.892307692307692
LLE,Glass,2,5,0.372093023255814,0.537495336400945,0.372093023255814,0.350968992248062
LLE,Glass,2,5,0.372093023255814,0.537495336400945,0.372093023255814,0.350968992248062
LLE,Glass,2,13,0.558139534883721,0.635382059800664,0.558139534883721,0.495016611295681
LLE,Heart,2,6,0.673913043478261,0.71,0.696078431372549,0.702970297029703
LLE,Heart,2,9,0.668478260869565,0.741176470588235,0.617647058823529,0.67379679144385
LLE,Heart,2,27,0.701086956521739,0.711711711711712,0.774509803921569,0.741784037558685
LLE,Heart,4,6,0.641304347826087,0.709302325581395,0.598039215686274,0.648936170212766
LLE,Heart,4,9,0.722826086956522,0.742857142857143,0.764705882352941,0.753623188405797
LLE,Heart,4,27,0.695652173913043,0.701754385964912,0.784313725490196,0.740740740740741
LLE,Heart,6,6,0.614130434782609,0.682352941176471,0.568627450980392,0.620320855614973
LLE,Heart,6,9,0.717391304347826,0.719298245614035,0.803921568627451,0.759259259259259
LLE,Heart,6,27,0.71195652173913,0.720720720720721,0.784313725490196,0.751173708920188
LLE,Heart,8,6,0.597826086956522,0.652173913043478,0.588235294117647,0.618556701030928
LLE,Heart,8,9,0.744565217391304,0.739130434782609,0.833333333333333,0.783410138248848
LLE,Heart,8,27,0.739130434782609,0.736842105263158,0.823529411764706,0.777777777777778
LLE,Grade,2,6,0.585,0.638657253599114,0.585,0.54352996720695
LLE,Grade,2,9,0.825,0.831443708214264,0.825,0.823549516908212
LLE,Grade,2,28,0.945,0.94686170212766,0.945,0.944846896955503
LLE,AcademicSuccess,2,8,0.500564971751412,0.750282485875706,0.500564971751412,0.335208643076618
LLE,AcademicSuccess,2,15,0.501694915254237,0.590692594254062,0.501694915254237,0.349309648476386
LLE,AcademicSuccess,2,59,0.519774011299435,0.656583342668149,0.519774011299435,0.392122909239704
LLE,AcademicSuccess,4,8,0.627118644067797,0.69609760159928,0.627118644067797,0.560686605508759
LLE,AcademicSuccess,4,15,0.645197740112994,0.728596011477824,0.645197740112994,0.571473472303396
LLE,AcademicSuccess,4,59,0.657627118644068,0.650400742852858,0.657627118644068,0.597534955996725
LLE,AcademicSuccess,6,8,0.625988700564972,0.577439392683963,0.625988700564972,0.564700236786873
LLE,AcademicSuccess,6,15,0.656497175141243,0.664639694341474,0.656497175141243,0.590832512645402
LLE,AcademicSuccess,6,59,0.691525423728814,0.638024840500485,0.691525423728814,0.630680662495894
LLE,AcademicSuccess,8,8,0.638418079096045,0.717774648989382,0.638418079096045,0.567464361340012
LLE,AcademicSuccess,8,15,0.665536723163842,0.676803002113243,0.665536723163842,0.601508935361208
LLE,AcademicSuccess,8,59,0.700564971751412,0.674500396112518,0.700564971751412,0.644260771604641
LLE,AcademicSuccess,10,8,0.659887005649718,0.768559024720023,0.659887005649718,0.586614804514763
LLE,AcademicSuccess,10,15,0.666666666666667,0.651571796734203,0.666666666666667,0.603840447430045
LLE,AcademicSuccess,10,59,0.706214689265537,0.702179548908642,0.706214689265537,0.663279144456866
LLE,AcademicSuccess,12,8,0.664406779661017,0.772641477013402,0.664406779661017,0.59020478157832
LLE,AcademicSuccess,12,15,0.665536723163842,0.657329731151223,0.665536723163842,0.606115188382716
LLE,AcademicSuccess,12,59,0.710734463276836,0.676685743511739,0.710734463276836,0.672833041152937
