dataset_name,ICA,ISOMAP,KPCA,LLE,LPP,PCA,SVD,UMAP
Admission,7,1,6,8,3,4,2,5
BankHappiness,1,4,7,6,5,2,3,8
Credit,7,2,8,5,6,1,3,4
Facebook,1,6,2,5,3,4,8,7
ForestFires,1,3,4,5,2,7,6,8
HousePrice,8,2,3,6,7,4,1,5
NYCPropertySales,4,5,8,7,6,3,2,1
OnlineNewsPopularity,5,7,3,0,6,4,2,1
PremiumPrice,5,3,8,6,1,4,7,2
WineQuality,6,2,7,8,5,4,3,1
