dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
ISOMAP,Admission,2,5,0.0739713599167799,0.0578283385293309,0.0887922979040281,0.7605616090509723,0.013601991267732,0.005353668781256
ISOMAP,Admission,2,6,0.0742223565707914,0.0581054060582011,0.0878275891015444,0.7589339467638643,0.0135491990645689,0.0053927872603852
ISOMAP,Admission,2,17,0.0763573501585415,0.0578223755978704,0.0901038672851153,0.7448660361141097,0.0071296590627496,0.0058527725416537
ISOMAP,BankHappiness,2,8,0.3091787689151054,0.1740862409614725,412234866355978.9,0.005749864459619,-0.0089828151112003,0.0955501250448099
ISOMAP,BankHappiness,2,19,0.3099653643213139,0.1740767780967684,411740827543421.94,0.0006843973529958,-0.0087728806700007,0.0960410704599089
ISOMAP,BankHappiness,2,87,0.3070907515529862,0.1741266890073576,416296500664635.6,0.0191337164789453,-0.0107460950361464,0.0942280121395478
ISOMAP,BankHappiness,4,8,0.3083317411909579,0.1744840476109394,415777230371498.5,0.0111901076115497,-0.0101114144674413,0.0950053026730781
ISOMAP,BankHappiness,4,19,0.3083598133877405,0.1737801573288537,412274098904077.2,0.0110100461660755,-0.0093063214951044,0.0950382612001152
ISOMAP,BankHappiness,4,87,0.3045567069027073,0.1735262964691565,417150060118568.0,0.0352547087637646,-0.0117255441178043,0.0926554134495154
ISOMAP,BankHappiness,6,8,0.3074204215727598,0.1742879201328163,416926317470683.1,0.0170266144293029,-0.0107802337047968,0.0944299462362068
ISOMAP,BankHappiness,6,19,0.3050658120540931,0.1737546668413639,417495420308149.0,0.0320266247857491,-0.0115997234812274,0.0929688391430446
ISOMAP,BankHappiness,6,87,0.3020876314917874,0.1733498194530344,426422353547545.2,0.0508338973672319,-0.0156848172201166,0.0910483766640726
ISOMAP,BankHappiness,8,8,0.3072759429816841,0.1734649754268085,412956526862002.0,0.0179503347000188,-0.0098763933244937,0.0943597772008786
ISOMAP,BankHappiness,8,19,0.3039574075457258,0.1729587322417734,416273753385991.7,0.0390477782570978,-0.0117467823172128,0.0922900825419694
ISOMAP,BankHappiness,8,87,0.3033753728239877,0.1734861701286415,426831648475280.3,0.0427244253684698,-0.0151793897050024,0.0918439832947151
ISOMAP,Credit,2,3,9104.93772359621,6110.438112753128,1.2050485175815615,7.44888015269396e-05,-303.6529204919317,92008539.8382689
ISOMAP,Credit,2,3,9104.93772359621,6110.438112753128,1.2050485175815615,7.44888015269396e-05,-303.6529204919317,92008539.8382689
ISOMAP,Credit,2,6,9104.687950270922,6109.652309492905,1.2049189312911126,0.000129349428107,-302.86709423215905,92004015.77226648
