dataset_name,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
OnlineNewsPopularity,7658.945172919181,2214.379331717719,0.6635876002307103,-0.0516951377437731,1740.0332976304649,55645759.5243958
PremiumPrice,5960.420664075575,4565.056077093427,0.2034959450667422,-0.0479816244437385,1301.428636849325,34004638.59489172
HousePrice,92651.88161490974,60035.43971840385,0.315685697812984,-0.0650657820306568,23058.38022059452,8080354716.043428
NYCPropertySales,1.288241425290085,0.2423392572282401,1.3163219239062165,0.0325349233090607,0.0139914654406312,1.6598610014548802
Facebook,259.6799941308873,133.81311749871836,1.5828759371152807,-0.0879010644644517,73.97121910986898,62587.83645981554
WineQuality,0.665912608739115,0.5028961812402868,0.0887120472579306,0.3794052928410079,0.0248747001531982,0.4432731713326064
Admission,0.0680081046059154,0.054167974992445,0.0806913813066524,0.7976105260070159,0.0171986991659835,0.0043841083940122
Credit,9105.204594764004,6111.22261502544,1.205392589717263,1.5871113461574105e-05,-304.095299362012,92013640.84601945
ForestFires,11.370270843473667,4.878124638419483,2450060390053795.5,-0.1411577197904776,3.6953511682101903,116.75003529073513
BankHappiness,0.3006301180864961,0.1624641534587573,378561572553142.5,0.0599708815021167,-0.0036319334390188,0.0904024643169688
