dr_name,dataset_name,n_components,n_neighbors,accuracy,precision,recall,f1_score
UMAP,AcademicSuccess,2,8,0.6259887005649718,0.7440458044211883,0.6259887005649718,0.5461860522716738
UMAP,AcademicSuccess,2,15,0.6361581920903955,0.7366978865226351,0.6361581920903955,0.5602076526664622
UMAP,AcademicSuccess,2,59,0.6418079096045197,0.7427823986365933,0.6418079096045197,0.5665404736665669
UMAP,AcademicSuccess,4,8,0.6474576271186441,0.7476611230921215,0.6474576271186441,0.5731424091816599
UMAP,AcademicSuccess,4,15,0.6463276836158192,0.7528228183642302,0.6463276836158192,0.5706975523834905
UMAP,AcademicSuccess,4,59,0.6372881355932203,0.7408460307992233,0.6372881355932203,0.5609301988758412
UMAP,AcademicSuccess,6,8,0.6542372881355932,0.7499181258431168,0.6542372881355932,0.5805652129382828
UMAP,AcademicSuccess,6,15,0.6406779661016949,0.7386313785914983,0.6406779661016949,0.5649041885875314
UMAP,AcademicSuccess,6,59,0.6451977401129944,0.7751522260334223,0.6451977401129944,0.5675133777660345
UMAP,AcademicSuccess,8,8,0.6485875706214689,0.7472860175314141,0.6485875706214689,0.5743098879589059
UMAP,AcademicSuccess,8,15,0.6463276836158192,0.7515327112595245,0.6463276836158192,0.5701159203861628
UMAP,AcademicSuccess,8,59,0.6429378531073446,0.7589995003651178,0.6429378531073446,0.566067642962734
UMAP,AcademicSuccess,10,8,0.6497175141242938,0.7480276006320408,0.6497175141242938,0.5755918971480619
UMAP,AcademicSuccess,10,15,0.6474576271186441,0.7522774796614183,0.6474576271186441,0.5718835294876946
UMAP,AcademicSuccess,10,59,0.6406779661016949,0.7561806372266421,0.6406779661016949,0.5637401652424416
UMAP,AcademicSuccess,12,8,0.6497175141242938,0.7480276006320408,0.6497175141242938,0.5755918971480619
UMAP,AcademicSuccess,12,15,0.6451977401129944,0.7484080922216515,0.6451977401129944,0.5694717826314236
UMAP,AcademicSuccess,12,59,0.6429378531073446,0.7589995003651178,0.6429378531073446,0.566067642962734
UMAP,AcademicSuccess,14,8,0.6485875706214689,0.7472860175314141,0.6485875706214689,0.5743098879589059
UMAP,AcademicSuccess,14,15,0.6361581920903955,0.747716280086764,0.6361581920903955,0.5588370514716505
UMAP,AcademicSuccess,14,59,0.63954802259887,0.7585351766574832,0.63954802259887,0.5621496672837822
UMAP,AcademicSuccess,16,8,0.6485875706214689,0.7472860175314141,0.6485875706214689,0.5743098879589059
UMAP,AcademicSuccess,16,15,0.63954802259887,0.7526200580184246,0.63954802259887,0.5626312266272301
UMAP,AcademicSuccess,16,59,0.6372881355932203,0.75721908349027,0.6372881355932203,0.5594254312138044
UMAP,BuyCoupon,2,9,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
UMAP,BuyCoupon,2,21,0.5664170279858101,0.5727659574468085,0.9334257975034674,0.7099156118143459
UMAP,BuyCoupon,2,100,0.570752857705952,0.5720114239086087,0.972260748959778,0.7202671461597739
UMAP,BuyCoupon,5,9,0.5675995270003942,0.5710168793742281,0.9618585298196948,0.7166106949108757
UMAP,BuyCoupon,5,21,0.5660228616476153,0.5739696312364425,0.9174757281553398,0.7061649319455565
UMAP,BuyCoupon,5,100,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,8,9,0.5675995270003942,0.5734980826587133,0.9334257975034674,0.7104776986012141
UMAP,BuyCoupon,8,21,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,8,100,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,11,9,0.5664170279858101,0.5732647814910026,0.9278779472954232,0.7086864406779662
UMAP,BuyCoupon,11,21,0.5660228616476153,0.5726459309757137,0.9320388349514565,0.7094220110847189
UMAP,BuyCoupon,11,100,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,14,9,0.5715411903823413,0.5763440860215053,0.9292649098474342,0.711441465357048
UMAP,BuyCoupon,14,21,0.5668111943240047,0.572947681837516,0.934119278779473,0.7102557342472976
UMAP,BuyCoupon,14,100,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,17,9,0.5703586913677572,0.575993091537133,0.9251040221914008,0.7099521021820117
UMAP,BuyCoupon,17,21,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,17,100,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,20,9,0.5695703586913677,0.5756266205704408,0.9237170596393898,0.7092651757188498
UMAP,BuyCoupon,20,21,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
UMAP,BuyCoupon,20,100,0.5660228616476153,0.5740338688666956,0.9167822468793344,0.706008010680908
UMAP,BuyCoupon,23,9,0.570752857705952,0.5768393556813235,0.9188626907073508,0.7087456539181599
UMAP,BuyCoupon,23,21,0.5675995270003942,0.5734355044699873,0.934119278779473,0.7106304405170141
UMAP,BuyCoupon,23,100,0.5660228616476153,0.5740338688666956,0.9167822468793344,0.706008010680908
UMAP,BuyCoupon,26,9,0.5758770201024832,0.5825067628494139,0.8959778085991679,0.7060109289617487
UMAP,BuyCoupon,26,21,0.5675995270003942,0.5733730327520205,0.9348127600554784,0.7107830213551279
UMAP,BuyCoupon,26,100,0.5664170279858101,0.573076923076923,0.9299583911234396,0.7091485986250661
UMAP,BuyCoupon,29,9,0.5695703586913677,0.5755613126079447,0.9244105409153952,0.7094199042043641
