dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var,n_instances
ISOMAP,Admission,2,5,0.07397135991678,0.057828338529331,0.0887922979040281,0.7605616090509716,0.0136019912677317,0.005353668781256,320.0
ISOMAP,Admission,2,6,0.0742223565707917,0.0581054060582015,0.0878275891015449,0.7589339467638627,0.0135491990645692,0.0053927872603852,320.0
ISOMAP,Admission,2,17,0.0763573501585416,0.0578223755978704,0.0901038672851154,0.7448660361141091,0.0071296590627495,0.0058527725416537,320.0
ISOMAP,BankHappiness,2,8,0.3091787689151055,0.1740862409614753,412234866355993.1,0.005749864459618,-0.0089828151112037,0.0955501250448099,7695.0
ISOMAP,BankHappiness,2,19,0.3099653643213129,0.1740767780967746,411740827543454.56,0.0006843973530019,-0.008772880670009,0.0960410704599082,7695.0
ISOMAP,BankHappiness,2,87,0.3070907515529862,0.174126689007353,416296500664612.7,0.0191337164789453,-0.0107460950361408,0.094228012139548,7695.0
ISOMAP,BankHappiness,4,8,0.308319786181069,0.1744379213455342,415566376637933.7,0.01126678478285,-0.0100642088215854,0.094998880359458,7695.0
ISOMAP,BankHappiness,4,19,0.3083598133877402,0.1737801573288539,412274098904078.8,0.0110100461660773,-0.0093063214951049,0.0950382612001149,7695.0
ISOMAP,BankHappiness,4,87,0.3045567069027061,0.1735262964691507,417150060118540.5,0.035254708763772,-0.011725544117798,0.0926554134495149,7695.0
ISOMAP,BankHappiness,6,8,0.3074204215727597,0.1742879201328164,416926317470683.7,0.0170266144293039,-0.0107802337047969,0.0944299462362067,7695.0
ISOMAP,BankHappiness,6,19,0.3050658120540932,0.1737546668413656,417495420308157.1,0.0320266247857488,-0.0115997234812293,0.0929688391430446,7695.0
ISOMAP,BankHappiness,6,87,0.302087631491788,0.1733498194530367,426422353547555.6,0.0508338973672283,-0.0156848172201189,0.0910483766640729,7695.0
ISOMAP,BankHappiness,8,8,0.3072759429816836,0.17346497542681,412956526862010.7,0.0179503347000217,-0.0098763933244959,0.0943597772008782,7695.0
ISOMAP,BankHappiness,8,19,0.303957407545726,0.172958732241775,416273753385999.7,0.0390477782570967,-0.0117467823172147,0.0922900825419694,7695.0
