dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
LLE,Credit,2,3,9108.09598271023,6113.0965578155,1.20507776016531,-0.000619326284733,-302.767147742441,92073049.4272335
LLE,Credit,2,3,9108.09598271023,6113.0965578155,1.20507776016531,-0.000619326284733,-302.767147742441,92073049.4272335
LLE,Credit,2,6,9106.9190915068,6112.3028494738,1.20568248531134,-0.00036075544776,-304.198665706955,92048265.012259
LLE,Credit,4,3,9108.75969908818,6114.46394407018,1.20632645593983,-0.000765163929404,-306.41761166365,92084012.7811059
LLE,Credit,4,3,9108.75969908818,6114.46394407018,1.20632645593983,-0.000765163929404,-306.41761166365,92084012.7811059
LLE,Credit,4,6,9106.81596632776,6110.49898435872,1.20496351095193,-0.000338099751168,-301.53767365153,92047968.9732566
LLE,Credit,6,3,9108.40235706294,6112.53151547927,1.20558131795461,-0.000686644252182,-302.755033346196,92079258.7643704
LLE,Credit,6,3,9108.40235706294,6112.53151547927,1.20558131795461,-0.000686644252182,-302.755033346196,92079258.7643704
LLE,Credit,6,6,9107.86869775755,6112.81901249015,1.2058164887703,-0.000569387663303,-304.097810141527,92067551.9305099
LLE,Credit,8,3,9108.78509000561,6113.90023257347,1.20597203269796,-0.000770743257852,-304.491500339584,92085834.1579216
LLE,Credit,8,3,9108.78509000561,6113.90023257347,1.20597203269796,-0.000770743257852,-304.491500339584,92085834.1579216
LLE,Credit,8,6,9108.28108595835,6113.69432445353,1.20610863032489,-0.000659997742272,-304.99255569439,92075293.2019973
LLE,Credit,10,3,9108.81131742131,6114.40908238262,1.20613269073387,-0.000776506412396,-305.066972406978,92085975.2874766
LLE,Credit,10,3,9108.81131742131,6114.40908238262,1.20613269073387,-0.000776506412396,-305.066972406978,92085975.2874766
LLE,Credit,10,6,9108.50909169286,6114.02960157222,1.20611071404128,-0.000710097002786,-304.773827378407,92080056.430663
LLE,Admission,2,5,0.08672547737291,0.065900935954016,0.10301216052339,0.670875678016557,0.002050519637843,0.007612257007366
LLE,Admission,2,6,0.097259199284823,0.07598514599433,0.121928654004668,0.586068994062053,-0.00469986321122,0.0095567221583
LLE,Admission,2,17,0.07501572169552,0.061673006978209,0.093980935854434,0.753752878279793,0.0115076253255,0.005564489175562
LLE,Facebook,2,5,259.097738459852,134.072299542223,1.59132616968345,-0.08302794037766,71.8449099085462,62595.9060558006
LLE,Facebook,2,7,259.280361171234,133.883787030273,1.58620071748528,-0.084555203439205,72.7201147272242,62563.7278819645
LLE,Facebook,2,20,251.225600756583,131.69719682403,1.58121656779664,-0.018216670685794,65.0407516112281,59478.7910155078
LLE,Facebook,4,5,257.488183619007,130.212939209725,1.31560527409206,-0.069613864407844,75.2031578655074,61257.221970173
LLE,Facebook,4,7,259.350741069009,133.28918465152,1.54883915716706,-0.085144073678006,73.481653365833,62488.1348602702
LLE,Facebook,4,20,251.36265592761,129.053267590332,1.48318702899202,-0.019327942192488,66.7310752946698,59323.3822070699
LLE,Facebook,6,5,256.197274678208,129.640415112105,1.33600836509381,-0.058915797820372,73.5871994477445,60830.2703333122
LLE,Facebook,6,7,256.238026893341,133.468009962546,1.63089579040406,-0.059252699112946,68.8525563974814,61532.5776805297
LLE,Facebook,6,20,251.901881146818,129.571648303134,1.49462544665314,-0.023705974283317,67.3340315474896,59515.8443645122
LLE,Facebook,8,5,255.307731538889,130.19718632693,1.41503523537336,-0.051575235680093,71.7184627119426,60644.9493836052
LLE,Facebook,8,7,255.220607684403,132.41473172395,1.57261676974045,-0.050857657289132,68.0912250707266,61112.2663183469
LLE,Facebook,8,20,254.156800539573,129.632682207213,1.44540000348455,-0.042115572818883,70.8795948519205,60173.4972668081
LLE,ForestFires,2,6,11.3332146704352,4.82338707968382,2301294349734339.0,-0.133731681996209,3.7602178846131,115.412249393649
LLE,ForestFires,2,7,11.3238823254423,4.82533298975006,2290899372137350.0,-0.131865306164831,3.7763939175536,115.075656597987
LLE,ForestFires,2,20,11.3869690697247,4.81544005219019,1887825980906648.0,-0.144511958619265,3.93888096541309,115.256517076291
LLE,ForestFires,4,6,11.3757604217648,4.90451498738876,2629458247769490.0,-0.142259889998907,3.65207908407125,117.197139105402
LLE,ForestFires,4,7,11.3116071345288,4.81971273107789,2332565997703626.0,-0.129412731723298,3.73207274307922,115.13111899664
LLE,ForestFires,4,20,11.4290733911792,4.86082108221204,2017517925558450.0,-0.152991474189988,3.83893952168017,117.011371268967
LLE,PremiumPrice,2,6,5854.73596990188,4483.8931779126,0.200919404719611,-0.011147409101475,1155.62049187229,33109695.2390533
LLE,PremiumPrice,2,9,5920.31502592385,4541.86199010069,0.203044593263894,-0.033926049676017,1229.8218246663,33707910.2567479
LLE,PremiumPrice,2,28,5874.55090520512,4496.48704442467,0.2013810749849,-0.018003303371534,1178.69370217239,33289156.547576
LLE,PremiumPrice,4,6,5909.56368021935,4526.13184431024,0.202245931987488,-0.030174221309296,1233.68201419564,33570519.6574962
LLE,PremiumPrice,4,9,5914.11520197265,4526.76213169372,0.202201271437055,-0.031761704346059,1241.35818427013,33605513.2951717
LLE,PremiumPrice,4,28,5914.45022188817,4527.8405605756,0.202309164790277,-0.03187860112525,1238.40433969413,33616858.230897
LLE,HousePrice,2,7,92679.1500304767,60083.66005101,0.31608828668015,-0.065692794232086,23011.1863135537,8087607440.56991
LLE,HousePrice,2,10,92635.4442216226,59930.4456459537,0.314578930173961,-0.064687908384086,23289.3067455673,8066558919.22639
LLE,HousePrice,2,34,92617.3932100583,59957.382089021,0.314951781353107,-0.064273017055533,23179.0265336326,8068345574.44013
LLE,HousePrice,11,7,92652.7254921237,60002.8838037043,0.315301550437885,-0.065085183446414,23154.3023470744,8076063575.9114
LLE,HousePrice,11,10,92654.1977071887,60001.2696868753,0.315278319390644,-0.065119031277699,23160.9686457588,8076027512.62087
LLE,HousePrice,11,34,92654.5693198533,60030.1788064251,0.315596913232473,-0.06512757514349,23089.8326260289,8079398016.43865
LLE,HousePrice,20,7,92664.4345068352,60037.5102901662,0.31563725629368,-0.065354401346589,23091.9342581478,8081135114.94559
LLE,HousePrice,20,10,92664.6856984344,60039.3582445884,0.315656259686333,-0.065360177207413,23090.8999443246,8081229759.73348
LLE,HousePrice,20,34,92663.2879267374,60047.4404226337,0.315753053589056,-0.065328037259806,23065.9891191877,8082123580.76051
LLE,HousePrice,29,7,92671.1506032566,60050.8767504195,0.315755874912823,-0.065508835617082,23074.6475135434,8083184936.45052
LLE,HousePrice,29,10,92671.1238757116,60049.2123984485,0.315729142708902,-0.065508221004421,23083.7864542068,8082756676.87501
LLE,HousePrice,29,34,92667.4896492715,60053.6516927934,0.315798472613864,-0.065424651882602,23063.6235120876,8083014464.77675
LLE,HousePrice,38,7,92674.5552103823,60060.5538125458,0.315850405206023,-0.065587127633265,23058.553730154,8084563143.39592
LLE,HousePrice,38,10,92675.1276939414,60057.509941589,0.31580552097316,-0.065600292692308,23072.3548009094,8084030773.9263
LLE,HousePrice,38,34,92670.3296108376,60058.3110800483,0.315837437038204,-0.065489956585241,23059.2292644618,8083745997.54571
LLE,HousePrice,47,7,92672.8476225184,60067.0896079283,0.315937252969154,-0.065547859748366,23035.2682074101,8085322565.92139
LLE,HousePrice,47,10,92677.3894929491,60062.398797821,0.315850939854154,-0.065652306714961,23065.4428034895,8084771444.94835
LLE,HousePrice,47,34,92671.7068368226,60061.3189811203,0.315864995135447,-0.065521626513797,23055.133724515,8084191644.81944
LLE,HousePrice,56,7,92674.9773519988,60069.7073757774,0.315955420098419,-0.065596835361479,23035.0419281461,8085729123.72549
LLE,HousePrice,56,10,92678.2818236389,60066.3900581241,0.315891667431516,-0.0656728277685,23057.4679135221,8085306501.02416
LLE,HousePrice,56,34,92673.2054005646,60064.0833952093,0.315888063883204,-0.065556087193126,23052.0360459124,8084613666.45749
LLE,HousePrice,65,7,92676.9553325635,60071.116383545,0.315958869646962,-0.065642322339371,23037.49818964,8085983451.02365
LLE,HousePrice,65,10,92679.2598862329,60068.121154141,0.315905232937853,-0.065695320637586,23056.0521127428,8085553927.20976
LLE,HousePrice,65,34,92674.1314603539,60066.0491039063,0.315904643078448,-0.065577382961879,23049.6562451522,8084895988.87317
LLE,HousePrice,74,7,92676.9515958818,60072.8872745446,0.315979361614645,-0.065642236407197,23032.6185429139,8086208334.45812
LLE,HousePrice,74,10,92679.2018883753,60070.3436284337,0.31593152503761,-0.065693986832671,23049.3437953236,8085853492.3546
