dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
UMAP,Admission,2,5,0.0765347199001654,0.061571871160983,0.0937271573126408,0.7436793630803313,0.0121519607976269,0.0057821703280705
UMAP,Admission,2,6,0.0746683396314904,0.0578891389652575,0.0895212654777095,0.7560282351872909,0.002753532173775,0.0056382572191307
UMAP,Admission,2,17,0.0758846188278957,0.0603456107043384,0.0926390110263479,0.7480153457208075,0.0150594671679555,0.0056017091881238
UMAP,BankHappiness,2,8,0.3101979643727998,0.1741507233983451,411762058508870.8,-0.0008159513954013,-0.0087083638110945,0.0961865081433553
UMAP,BankHappiness,2,19,0.3101972232796091,0.1741244218384507,411628443104707.3,-0.0008111693072774,-0.00867532821173,0.0961866227005148
UMAP,BankHappiness,2,87,0.3102067126734233,0.1740935879366913,411457630135150.3,-0.0008724028443409,-0.0086303059168068,0.0961932918405236
UMAP,BankHappiness,4,8,0.3101748362179894,0.1740976158501674,411523155736301.1,-0.0006667166098415,-0.0086553772157707,0.0961730745847628
UMAP,BankHappiness,4,19,0.3101922227607651,0.1741242239817346,411631369725492.1,-0.0007789025144253,-0.0086768257491581,0.0961834931585516
UMAP,BankHappiness,4,87,0.3101663179357566,0.1741568192245919,411836877497973.1,-0.0006117550625361,-0.0087354942905999,0.0961663942900157
UMAP,BankHappiness,6,8,0.310182019817951,0.1741051104535499,411551890218235.5,-0.0007130677111473,-0.0086606432857659,0.0961774415892559
UMAP,BankHappiness,6,19,0.3102011282985548,0.1741312654926115,411655419320108.5,-0.0008363675417142,-0.0086804644037515,0.0961889571854462
UMAP,BankHappiness,6,87,0.3101625451065681,0.1740362126500873,411235764663058.3,-0.0005874125465539,-0.0085891531412164,0.096166589284204
UMAP,BankHappiness,8,8,0.3101782092581493,0.1740770031870698,411415600339051.4,-0.0006884805118749,-0.0086282256874886,0.0961756373909505
UMAP,BankHappiness,8,19,0.3101951479674987,0.1741100428974658,411556625493228.56,-0.0007977779005456,-0.0086578137263801,0.096185638368866
UMAP,BankHappiness,8,87,0.3102231530699977,0.1741436925102583,411685622215757.5,-0.0009784945218356,-0.0086814501661687,0.0962026103900096
UMAP,Credit,2,3,9107.266111101782,6115.084339328359,1.206763172740823,-0.0004369944907762,-308.0099164581514,92052695.45531824
UMAP,Credit,2,3,9107.97415820529,6115.12099394378,1.2065184047656576,-0.0005925590791486,-306.56416200022284,92068012.97901386
UMAP,Credit,2,6,9105.498206562794,6109.858139183369,1.20434940498085,-4.862208264455603e-05,-300.8505275702677,92021762.83308774
UMAP,Credit,4,3,9106.28181446453,6113.5275751008185,1.2063239947159814,-0.0002207553815387,-307.7725279511708,92032938.39498442
UMAP,Credit,4,3,9107.888579713272,6114.46295085721,1.2063420084633425,-0.0005737560394039,-306.9031734441611,92066049.80289036
UMAP,Credit,4,6,9105.782873868557,6110.638414844179,1.2045333666186897,-0.0001111525648755,-301.63536534035336,92026997.61379322
UMAP,Credit,6,3,9106.852346043524,6114.130997368823,1.2063752996528785,-0.0003460920260893,-308.0994745486443,92044260.40713476
UMAP,Credit,6,3,9107.11106911696,6113.69266215883,1.205884280039346,-0.0004029319268563,-305.504260915936,92051265.74643873
UMAP,Credit,6,6,9105.998179547874,6111.15602460147,1.2047313143777425,-0.0001584482581304,-302.4972914094398,92030775.8162435
UMAP,Credit,8,3,9109.160655200869,6114.858448116522,1.206319557699431,-0.0008532707089525,-306.44726330009416,92092108.79675038
UMAP,Credit,8,3,9107.080788875051,6113.862345243559,1.2060524742148089,-0.0003962794566725,-305.66550443020753,92050543.43833162
UMAP,Credit,8,6,9105.583012069856,6110.032042740987,1.204439764294737,-6.725039347399431e-05,-301.02295247386354,92023363.52419896
UMAP,Credit,10,3,9107.941397870309,6113.28894892202,1.2057385937868053,-0.0005853610595025,-304.2182045357009,92068941.99007644
UMAP,Credit,10,3,9107.168875661657,6113.016424600109,1.2058632806728955,-0.0004156318972194,-305.28733497251994,92052582.85880645
UMAP,Credit,10,6,9103.885449042864,6110.981883017489,1.205664846616615,0.0003056019404592,-307.0753404530906,91984927.78286669
UMAP,Facebook,2,5,254.7755958188996,129.036204947841,1.3165299943091693,-0.0471962254784577,72.24633313821806,60294.01168985546
UMAP,Facebook,2,7,256.2074662464014,129.49274204634443,1.3729454337372464,-0.0590000471726117,73.46123007697946,60854.255995937376
UMAP,Facebook,2,20,257.30061479841214,134.59523848299656,1.630196040425814,-0.0680560986530529,69.24488938835847,62029.04209013623
UMAP,Facebook,4,5,256.4209224333403,129.9981611864376,1.4099956073913666,-0.0607653686975824,72.8769724790496,61051.14782207369
UMAP,Facebook,4,7,256.5531721605034,130.77128273546882,1.440857574856627,-0.0618598356051276,71.06094660984022,61383.709103566005
UMAP,Facebook,4,20,257.1167085405568,133.63423865642065,1.5745879455942722,-0.066529852757315,68.69268335867146,62010.42127647973
UMAP,Facebook,6,5,256.4475105763873,130.65822391351085,1.4411412938326271,-0.0609853604463974,71.88171867671029,61210.4486877864
