dr_name,dataset_name,n_components,n_neighbors,accuracy,precision,recall,f1_score
LLE,AcademicSuccess,2,8,0.4994350282485876,0.7500003191930799,0.4994350282485876,0.3327057761656002
LLE,AcademicSuccess,2,15,0.5016949152542373,0.7505652916674664,0.5016949152542373,0.3376961407636175
LLE,AcademicSuccess,2,59,0.519774011299435,0.6565833426681488,0.519774011299435,0.3921229092397043
LLE,AcademicSuccess,4,8,0.6237288135593221,0.6919489800845733,0.6237288135593221,0.5583123681598974
LLE,AcademicSuccess,4,15,0.6451977401129944,0.7316602810525887,0.6451977401129944,0.5710559832328125
LLE,AcademicSuccess,4,59,0.6576271186440678,0.650400742852858,0.6576271186440678,0.5975349559967251
LLE,AcademicSuccess,6,8,0.6259887005649718,0.695422307974499,0.6259887005649718,0.559959437527292
LLE,AcademicSuccess,6,15,0.6542372881355932,0.6765341968223624,0.6542372881355932,0.588911380649856
LLE,AcademicSuccess,6,59,0.6915254237288135,0.6380248405004845,0.6915254237288135,0.6306806624958936
LLE,AcademicSuccess,8,8,0.6451977401129944,0.7185582058283103,0.6451977401129944,0.5792883198280234
LLE,AcademicSuccess,8,15,0.6644067796610169,0.6528396640964598,0.6644067796610169,0.5970500075361094
LLE,AcademicSuccess,8,59,0.7005649717514124,0.6745003961125182,0.7005649717514124,0.6442607716046406
LLE,AcademicSuccess,10,8,0.6598870056497175,0.7672767776235616,0.6598870056497175,0.586468881905344
LLE,AcademicSuccess,10,15,0.6666666666666666,0.6515717967342028,0.6666666666666666,0.6038404474300448
LLE,AcademicSuccess,10,59,0.7062146892655368,0.7021795489086419,0.7062146892655368,0.6632791444568661
LLE,AcademicSuccess,12,8,0.6644067796610169,0.7739636477772072,0.6644067796610169,0.5903530384202837
LLE,AcademicSuccess,12,15,0.6666666666666666,0.6571426783166011,0.6666666666666666,0.6072398907791711
LLE,AcademicSuccess,12,59,0.7107344632768362,0.6766857435117389,0.7107344632768362,0.672833041152937
LLE,AcademicSuccess,14,8,0.6632768361581921,0.7706458006040702,0.6632768361581921,0.5891980891436351
LLE,AcademicSuccess,14,15,0.6700564971751413,0.6515691898353786,0.6700564971751413,0.6107810626171406
LLE,AcademicSuccess,14,59,0.7186440677966102,0.6891808246823349,0.7186440677966102,0.6826515226604434
LLE,AcademicSuccess,16,8,0.6632768361581921,0.5884191339073728,0.6632768361581921,0.590573066375921
LLE,AcademicSuccess,16,15,0.6655367231638418,0.6411596955166248,0.6655367231638418,0.6092259769902026
LLE,AcademicSuccess,16,59,0.7163841807909604,0.691798753685841,0.7163841807909604,0.6824914102213241
LLE,BuyCoupon,2,9,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LLE,BuyCoupon,2,21,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LLE,BuyCoupon,2,100,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LLE,BuyCoupon,5,9,0.5679936933385888,0.5683794466403163,0.9972260748959778,0.7240684793554885
LLE,BuyCoupon,5,21,0.5683878596767836,0.5683878596767836,1.0,0.7248052274440815
LLE,BuyCoupon,5,100,0.5679936933385888,0.5703824247355573,0.972260748959778,0.718974358974359
LLE,BuyCoupon,8,9,0.5679936933385888,0.5705546492659054,0.9701803051317616,0.7185413456599898
LLE,BuyCoupon,8,21,0.5703586913677572,0.5741989881956155,0.9445214979195562,0.714210802307289
LLE,BuyCoupon,8,100,0.5636578636184469,0.5701130179991628,0.9445214979195562,0.7110415035238841
LLE,BuyCoupon,11,9,0.5648403626330312,0.5707112970711297,0.9459084604715672,0.7118997912317327
LLE,BuyCoupon,11,21,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
LLE,BuyCoupon,11,100,0.5660228616476153,0.5740338688666956,0.9167822468793344,0.706008010680908
LLE,BuyCoupon,14,9,0.5683878596767836,0.5751407535729753,0.9209431345353676,0.708077845907758
LLE,BuyCoupon,14,21,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
LLE,BuyCoupon,14,100,0.5660228616476153,0.5740338688666956,0.9167822468793344,0.706008010680908
LLE,BuyCoupon,17,9,0.5679936933385888,0.5748917748917749,0.9209431345353676,0.7078891257995736
LLE,BuyCoupon,17,21,0.5668111943240047,0.573009791400596,0.9334257975034674,0.71010287523081
LLE,BuyCoupon,17,100,0.5672053606621994,0.5749782040104621,0.9147018030513177,0.7061027837259101
LLE,BuyCoupon,20,9,0.5683878596767836,0.5750757247944612,0.9216366158113732,0.7082334132693846
LLE,BuyCoupon,20,21,0.5640520299566417,0.573748902546093,0.9063800277392512,0.7026881720430107
LLE,BuyCoupon,20,100,0.5679936933385888,0.5754141238012206,0.9153952843273232,0.7066381156316917
LLE,BuyCoupon,23,9,0.5683878596767836,0.5750757247944612,0.9216366158113732,0.7082334132693846
LLE,BuyCoupon,23,21,0.5675995270003942,0.5762936753648827,0.9036061026352288,0.7037537132055092
LLE,BuyCoupon,23,100,0.5679936933385888,0.5758771929824561,0.9105409153952844,0.705534658785599
LLE,BuyCoupon,26,9,0.5687820260149783,0.5752595155709342,0.9223300970873788,0.7085775173148641
LLE,BuyCoupon,26,21,0.5727236893969255,0.5820348304307974,0.8807212205270458,0.7008830022075055
LLE,BuyCoupon,26,100,0.5699645250295625,0.5787348586810229,0.8945908460471568,0.7028057749931899
LLE,BuyCoupon,29,9,0.5687820260149783,0.5752595155709342,0.9223300970873788,0.7085775173148641
LLE,BuyCoupon,29,21,0.5703586913677572,0.5798548094373865,0.8862690707350902,0.7010422380691169
LLE,BuyCoupon,29,100,0.5715411903823413,0.5797036371800629,0.8952843273231623,0.7037339874625238
LLE,DryBean,2,9,0.4987146529562982,0.4901014473071918,0.4987146529562982,0.4448878099559062
LLE,DryBean,2,22,0.8567756151303709,0.8623328619823941,0.8567756151303709,0.8533292883459199
LLE,DryBean,2,104,0.8637532133676092,0.8653532545465834,0.8637532133676092,0.8634333485170723
LLE,DryBean,4,9,0.8207858979067205,0.8209390728858528,0.8207858979067205,0.82029572100096
LLE,DryBean,4,22,0.9012118986412044,0.9024262186323668,0.9012118986412044,0.9011213429948496
LLE,DryBean,4,104,0.901946382666177,0.9027909114899116,0.901946382666177,0.9017526628632452
LLE,DryBean,6,9,0.8677928755049578,0.8690256761613876,0.8677928755049578,0.8676518868268177
LLE,DryBean,6,22,0.9280205655526992,0.928424727650814,0.9280205655526992,0.928135459578248
LLE,DryBean,6,104,0.9309585016525892,0.9314461304863182,0.9309585016525892,0.9310793449802232
LLE,FakeWebsite,2,9,0.7060153776571687,0.7812197483059051,0.6555645816409423,0.7128975265017667
LLE,FakeWebsite,2,20,0.757123473541384,0.768160741885626,0.8074735987002437,0.7873267326732674
LLE,FakeWebsite,2,94,0.7801899592944369,0.8030919446704637,0.80178716490658,0.8024390243902437
LLE,FakeWebsite,4,9,0.7815468113975577,0.7940251572327044,0.8204711616571893,0.8070315621254495
LLE,FakeWebsite,4,20,0.8322026232473994,0.8312788906009245,0.8765231519090171,0.8533017002767893
LLE,FakeWebsite,4,94,0.8697421981004071,0.8601986249045073,0.9147034930950448,0.8866141732283465
LLE,FakeWebsite,6,9,0.8018995929443691,0.8195004029008863,0.826157595450853,0.8228155339805825
LLE,FakeWebsite,6,20,0.8521031207598372,0.845565749235474,0.8984565393988627,0.8712091374556913
LLE,FakeWebsite,6,94,0.900497512437811,0.8939984411535464,0.9317627944760356,0.9124900556881465
LLE,FakeWebsite,8,9,0.7969244685662596,0.8108108108108109,0.8285946385052803,0.8196062675773403
LLE,FakeWebsite,8,20,0.866576209859792,0.8611111111111112,0.9065800162469536,0.8832607835377919
LLE,FakeWebsite,8,94,0.9099954771596562,0.9050235478806908,0.9366368805848904,0.9205588822355288
LLE,FakeWebsite,10,9,0.8285843509724107,0.8486088379705401,0.8424045491470349,0.8454953118630248
LLE,FakeWebsite,10,20,0.8909995477159657,0.8941082802547771,0.9122664500406172,0.9030960997185364
LLE,FakeWebsite,10,94,0.9140660334690184,0.9095200629425648,0.9390739236393176,0.9240607513988808
LLE,FakeWebsite,12,9,0.8344640434192673,0.8565539983511954,0.8440292445166532,0.8502454991816696
LLE,FakeWebsite,12,20,0.8914518317503393,0.8923198733174981,0.9155158407798538,0.9037690457097034
LLE,FakeWebsite,12,94,0.929895974672094,0.9222919937205653,0.9545085296506904,0.93812375249501
