dr_name,dataset_name,n_components,n_neighbors,RMSE,MAE,MAE_percentage,R2,residuals_mean,residuals_var
LLE,Admission,2,5,0.0863961041982216,0.0655850721064315,0.1027883047175851,0.6733708817761754,0.0010768624481955,0.0075575971523014
LLE,Admission,2,6,0.0972300693343157,0.0759735907333381,0.1219088222286846,0.5863169085853126,-0.0044633217963844,0.0095531798899217
LLE,Admission,2,17,0.0750543628393728,0.0617069401810759,0.094015869224553,0.7534991255748651,0.0115119168168411,0.0055702614201785
LLE,BankHappiness,2,8,0.3101751357756713,0.1740208856257442,411141938106726.4,-0.0006686494394059,-0.0085628128042952,0.0961748549393431
LLE,BankHappiness,2,19,0.3085204555257859,0.1737777686584645,410650211756910.9,0.0099793356980195,-0.0085415764559518,0.095151053654403
LLE,BankHappiness,2,87,0.3095536425261807,0.1738542369190521,410798186374402.8,0.0033373825359792,-0.0085768050757951,0.0957892992653075
LLE,BankHappiness,4,8,0.31018624495383,0.1737699062067345,409917677710415.4,-0.0007403302680568,-0.0082701113912564,0.0961866785288152
LLE,BankHappiness,4,19,0.3059816605420051,0.1734127036614071,416307083681652.25,0.0262059288024624,-0.0114647801857616,0.0935318100269578
LLE,BankHappiness,4,87,0.3066456492391582,0.1729139353096936,410601520861251.0,0.0219750228539415,-0.0094297696528132,0.0939812931616169
LLE,BankHappiness,6,8,0.3103531233964275,0.1735647053544317,409060238570121.6,-0.0018174051773336,-0.0080945327732516,0.0962931502512824
LLE,BankHappiness,6,19,0.305549523087526,0.1731596978398288,416574892373150.3,0.0289545623882268,-0.0118166489283769,0.093259240368298
LLE,BankHappiness,6,87,0.3045144292597532,0.1715874989019672,407903912490415.3,0.0355225362327719,-0.0095394939024688,0.0926761583319074
LLE,BankHappiness,8,8,0.3107331356261549,0.1733693824438205,407708637164427.3,-0.0042722600715117,-0.0076896240835758,0.0965356615255228
LLE,BankHappiness,8,19,0.3051769380369195,0.1712263706264169,409177156437609.44,0.0313212911818282,-0.0101121670788443,0.0930689918283644
LLE,BankHappiness,8,87,0.304711500017961,0.1692238112970596,395676524660508.56,0.0342737822157946,-0.0064253537980611,0.092846005587433
LLE,Credit,2,3,9107.478233235412,6113.4049570741645,1.2062289707124436,-0.0004835984438507,-307.6048864865752,92057265.55851825
LLE,Credit,2,3,9107.478233235412,6113.4049570741645,1.2062289707124436,-0.0004835984438507,-307.6048864865752,92057265.55851825
LLE,Credit,2,6,9106.919091506752,6112.3028494737455,1.205682485311332,-0.0003607554477509,-304.19866570692795,92048265.01225813
LLE,Credit,4,3,9107.896265829058,6114.195037757791,1.2064816970735264,-0.0005754448016059,-307.3996668837199,92065866.48211408
LLE,Credit,4,3,9107.896265829058,6114.195037757791,1.2064816970735264,-0.0005754448016059,-307.3996668837199,92065866.48211408
LLE,Credit,4,6,9106.815966327757,6110.49898435872,1.2049635109519254,-0.0003380997511679,-301.5376736515298,92047968.9732566
LLE,Credit,6,3,9108.700018904465,6112.647110649959,1.2056060532392288,-0.0007520500357114,-302.71182872635563,92085312.87015475
LLE,Credit,6,3,9108.700018904465,6112.647110649959,1.2056060532392288,-0.0007520500357114,-302.71182872635563,92085312.87015475
LLE,Credit,6,6,9107.868697757547,6112.819012490152,1.205816488770298,-0.0005693876633028,-304.0978101415267,92067551.93050992
LLE,Credit,8,3,9108.221750645282,6113.9412689077,1.206038967118985,-0.000646960313962,-305.027556559348,92074068.49851912
LLE,Credit,8,3,9108.221750645282,6113.9412689077,1.206038967118985,-0.000646960313962,-305.027556559348,92074068.49851912
LLE,Credit,8,6,9108.281085958346,6113.694324453534,1.2061086303248874,-0.0006599977422716,-304.9925556943901,92075293.20199724
LLE,Credit,10,3,9108.932626273066,6114.555427228802,1.2061792425678235,-0.0008031627681019,-305.2480620053568,92088308.01180436
LLE,Credit,10,3,9108.932626273066,6114.555427228802,1.2061792425678235,-0.0008031627681019,-305.2480620053568,92088308.01180436
LLE,Credit,10,6,9108.509091692864,6114.029601572218,1.2061107140412817,-0.0007100970027864,-304.77382737840725,92080056.430663
LLE,Facebook,2,5,259.17013744591515,133.9924208282129,1.589170766784997,-0.0836332801246855,72.21247766033771,62580.32142817148
LLE,Facebook,2,7,259.2469399382027,133.9234409050183,1.5870630270053316,-0.0842756231740753,72.56229823737664,62569.38256750714
LLE,Facebook,2,20,251.2269877581058,131.69697331520769,1.581179396145456,-0.0182279137435616,65.04326271082539,59479.1650039818
LLE,Facebook,4,5,257.1243197994215,130.6822837063989,1.3668707964986442,-0.0665929972724495,73.81070301093915,61277.67268014763
LLE,Facebook,4,7,259.53340542905573,134.39807566783176,1.587058037967534,-0.0866731763172898,71.42817955680725,62884.44818060922
LLE,Facebook,4,20,251.37120633502883,129.04874468317877,1.4827101745182385,-0.0193972907391442,66.75744882335378,59324.16808174236
LLE,Facebook,6,5,255.8857058661532,129.4444676131505,1.3322738962770837,-0.056341808523078,73.2407635511106,60720.4899202725
LLE,Facebook,6,7,256.13366949693545,132.63787119303765,1.5930009244870462,-0.0583900766106424,70.60897426593165,61231.14081119026
LLE,Facebook,6,20,253.49354889319483,129.4694424057826,1.4619124931580054,-0.036683626836045,70.05594097701314,59950.65097403214
LLE,Facebook,8,5,254.77509504833773,130.11408357749843,1.4258406511101012,-0.0471921088791018,70.45144591778248,60552.46749998314
LLE,Facebook,8,7,256.4118834421802,132.44623137162088,1.557438397657614,-0.0606905847860059,70.96939615848086,61323.63513057256
LLE,Facebook,8,20,253.687353176713,130.08533886762274,1.4940913862434977,-0.0382693912946565,69.13803413282201,60178.99535157075
LLE,ForestFires,2,6,11.334388066812329,4.833292756443411,2363854546279058.5,-0.133966458368999,3.738648612313708,115.60242114451668
LLE,ForestFires,2,7,11.326151147487272,4.879573499381826,2258030234575157.0,-0.1323189064661305,3.813044628821487,114.84668552749184
LLE,ForestFires,2,20,11.386926265118465,4.815443727964434,1888106838257304.5,-0.1445033539956253,3.9387488264795767,115.25658383215196
LLE,ForestFires,4,6,11.3819533089853,4.901551008485578,2568761558176084.5,-0.1435039056780285,3.682985782357953,117.1105397369567
LLE,ForestFires,4,7,11.28738350874268,4.766500011570073,2062877233258149.2,-0.124580672550483,3.765585345888793,114.32466914108193
LLE,ForestFires,4,20,11.429611149210896,4.860531450059873,2015975361119243.2,-0.1530999773015269,3.8394490589741648,117.0198326442104
LLE,HousePrice,2,7,92677.48975139044,60083.49848101816,0.3161016058245425,-0.0656546123624899,23004.64872126503,8087600505.836567
LLE,HousePrice,2,10,92635.44639130372,59930.4463672566,0.3145789231390758,-0.0646879582577237,23289.31263849006,8066559047.159069
LLE,HousePrice,2,34,92617.39087633148,59957.380719161694,0.314951775806974,-0.0642729634214935,23179.02377095161,8068345269.179829
LLE,HousePrice,11,7,92652.72549234163,60002.88380425173,0.3153015504428176,-0.0650851834514236,23154.30234631564,8076063575.987174
LLE,HousePrice,11,10,92654.19770718872,60001.26968687525,0.3152783193906439,-0.0651190312776992,23160.96864575877,8076027512.620874
LLE,HousePrice,11,34,92654.56931985333,60030.1788064251,0.3155969132324738,-0.0651275751434901,23089.83262602887,8079398016.438651
LLE,HousePrice,20,7,92664.43450662305,60037.5102909958,0.3156372563053405,-0.0653544013417106,23091.93425499133,8081135115.052419
LLE,HousePrice,20,10,92664.68569843443,60039.358244588446,0.3156562596863335,-0.065360177207413,23090.899944324552,8081229759.733479
LLE,HousePrice,20,34,92663.28792673738,60047.44042263369,0.3157530535890565,-0.0653280372598057,23065.989119187678,8082123580.760514
LLE,HousePrice,29,7,92671.15060320246,60050.87675068303,0.3157558749164906,-0.065508835615837,23074.64751260628,8083184936.483841
LLE,HousePrice,29,10,92671.12387571162,60049.21239844854,0.3157291427089017,-0.0655082210044213,23083.78645420685,8082756676.875007
LLE,HousePrice,29,34,92667.48964927152,60053.6516927934,0.3157984726138635,-0.0654246518826022,23063.62351208755,8083014464.77675
LLE,HousePrice,38,7,92674.55521025938,60060.5538128683,0.3158504052110388,-0.0655871276304391,23058.553728796676,8084563143.435871
LLE,HousePrice,38,10,92675.12769394137,60057.50994158901,0.3158055209731605,-0.0656002926923076,23072.354800909423,8084030773.926298
LLE,HousePrice,38,34,92670.3296108376,60058.311080048254,0.3158374370382036,-0.0654899565852409,23059.229264461792,8083745997.545707
LLE,HousePrice,47,7,92672.84762236643,60067.08960802157,0.3159372529713153,-0.0655478597448715,23035.268206634923,8085322565.928965
LLE,HousePrice,47,10,92677.3894929491,60062.39879782104,0.3158509398541537,-0.065652306714961,23065.44280348955,8084771444.948351
LLE,HousePrice,47,34,92671.70683682256,60061.318981120334,0.315864995135447,-0.0655216265137967,23055.13372451497,8084191644.819445
LLE,HousePrice,56,7,92674.97735200849,60069.70737577118,0.3159554200982764,-0.0655968353617011,23035.041928197326,8085729123.724919
LLE,HousePrice,56,10,92678.28182363891,60066.39005812415,0.3158916674315158,-0.0656728277684997,23057.46791352212,8085306501.024162
LLE,HousePrice,56,34,92673.20540056458,60064.08339520927,0.3158880638832044,-0.0655560871931257,23052.0360459124,8084613666.457495
LLE,HousePrice,65,7,92676.9553323495,60071.11638371912,0.3159588696505627,-0.0656423223344497,23037.49818842252,8085983451.040133
LLE,HousePrice,65,10,92679.2598862329,60068.12115414095,0.3159052329378534,-0.0656953206375861,23056.052112742807,8085553927.209763
LLE,HousePrice,65,34,92674.13146035394,60066.04910390634,0.3159046430784482,-0.0655773829618791,23049.656245152222,8084895988.873171
LLE,HousePrice,74,7,92676.95159573834,60072.887274645065,0.3159793616168219,-0.0656422364038986,23032.618542156342,8086208334.466461
LLE,HousePrice,74,10,92679.20188837525,60070.34362843365,0.3159315250376098,-0.0656939868326711,23049.343795323617,8085853492.354601
LLE,HousePrice,74,34,92674.54585255712,60067.572317609294,0.3159202241154977,-0.0655869124376815,23046.77097895665,8085106517.371138
LLE,HousePrice,83,7,92677.03086987592,60074.32353948524,0.3159959414543231,-0.0656440594657052,23028.80238861046,8086399460.238701
LLE,HousePrice,83,10,92678.98807260372,60072.21117168938,0.3159544878678839,-0.0656890696146863,23043.73174615254,8086073289.185463
LLE,HousePrice,83,34,92675.04559160543,60069.0108709894,0.3159351059539337,-0.0655984046294237,23043.798595202625,8085336931.750124
LLE,HousePrice,92,7,92677.48872538068,60075.196097717606,0.3160028311824672,-0.0656545887672885,23028.1819177938,8086513292.677608
LLE,HousePrice,92,10,92678.97292299144,60073.77355916732,0.3159733980274362,-0.0656887212126327,23039.064595895423,8086286285.859682
LLE,HousePrice,92,34,92675.15107479984,60069.67546505478,0.315942721025113,-0.0656008303695339,23042.20517146985,8085430237.152152
LLE,PremiumPrice,2,6,5854.735804665598,4483.8922752869385,0.2009193578870714,-0.0111473520269163,1155.6214228681995,33109691.131722838
LLE,PremiumPrice,2,9,5920.409978715869,4541.930031217411,0.2030459993328153,-0.0339592151248169,1230.0241614804868,33708540.029918924
LLE,PremiumPrice,2,28,5874.550944304816,4496.487071347855,0.2013810738686005,-0.0180033169227384,1178.6938498735694,33289156.65933788
